Restaurant Name,Neighborhood,Address,ZIP Code,Description
B.B. Kings,Downtown,152 2nd Avenue North,37201,RESTAURANT & BLUES CLUB
Beer Sellar,Downtown,107 Church Street,37201,
The Big Bang,Downtown,154 2nd Avenue North,37201,DUELING PIANOS
Big Machine Store & Distillery,Downtown,122 3rd Avenue South,37201,"DISTILLERY, BAR, & STORE"
Black Rabbit,Downtown,218 3rd Avenue North,37201,TAPAS-STYLE RESTAURANT
Blanco Cocina + Cantina,Downtown,530 Broadway,37203,"SONORAN-STYLE MEXICAN FOOD, SPIRITS, AND COCKTAILS"
BLEND BAR CIGAR,Downtown,506 Church Street,37219,"BEER, SPIRITS, WINE & CIGARS"
Blue Coast Burrito,Downtown,"500 Church Street, #120",37209,FAST-CASUAL MEXICAN
Bobby's Garage Bar,Downtown,230 4th Avenue North,37219,BAR
Bobby's Rooftop Lounge,Downtown,230 4th Avenue North,37219,ROOFTOP LOUNGE
Bootleggers Inn,Downtown,207 Broadway,37201,HONKY TONK
Bourbon Street Blues & Boogie Bar,Downtown,220 Printers Alley,37201,NEW ORLEANS STYLE NIGHTCLUB
Bowie's,Downtown,174 3rd Ave North,37201,ROCK-THEMED BAR & RESTAURANT
Broadway Brewhouse,Downtown,317 Broadway,37201,RESTAURANT & BAR
Buffalo's Nashville,Downtown,154 2nd Avenue North,37201,BAR & POOL HALL
Café at Bobby,Downtown,230 4th Avenue South,37219,SIDEWALK CAFÈ
Café Le Crumbs,Downtown,162 4th Avenue North,37219,GOURMET LUNCH CAFE
Café Lula,Downtown,116 5th Avenue North,37219,RESTAURANT & BAR
Capitol Grille,Downtown,231 Sixth Avenue North,37219,FINE DINING RESTAURANT
Carter's,Downtown,1001 Broadway,37203,SMALL PLATES + CRAFT COCKTAILS
CAVA,Downtown,501 Commerce Street,37203,MEDITERRANEAN RESTAURANT
Cheese Gal,Downtown,401 Union Street,37219,CAFÉ SPECIALIZING IN CHEESE AND CHARCUTERIE BOARDS
Chicken Guy!,Downtown,139 2nd Avenue North,37201,CHICKEN RESTAURANT FROM GUY FIERI
Church and Union,Downtown,201 4th Avenue North,37219,NEW AMERICAN CUISINE
Corner Pub,Downtown,151 5th Avenue North,37219,NEIGHBORHOOD BAR AND RESTAURANT
Coyote Ugly,Downtown,154 Second Avenue North,37201,
Crossroads,Downtown,419 Broadway,37203,HONKY TONK SALOON
D'Andrews Bakery & Café,Downtown,555 Church Street,37219,BAKERY & CAFÉ
Deacon's New South,Downtown,401 Church Street,37219,MODERN SOUTHERN STEAKHOUSE
Dick's Last Resort,Downtown,154 2nd Avenue North,37201,THEMED RESTAURANT
Dierks Bentley's Whiskey Row,Downtown,400 Broadway,37203,AMERICAN GASTROPUB
The District Bar & Kitchen,Downtown,301 Union Street,37201,HOTEL INDIGO'S BAR & RESTAURANT
Doc Holliday's,Downtown,112 2nd Avenue South,37201,
Downtown Sporting Club,Downtown,411 Broadway,37203,RESTAURANT AND SOCIAL CLUB
Drug Store Coffee,Downtown,200 4th Avenue North,37219,COFFEE SHOP
Easy 8,Downtown,210 4th Ave North,37219,SANDWICH SHOP
Eddie V's,Downtown,590 Broadway,37203,SEAFOOD RESTAURANT
Elixr,Downtown,5045 Broadway Place,37203,COFFEE SHOP
Ellington's,Downtown,"401 Union Street, 4th Floor",37219,AMERICAN RESTAURANT INSIDE FAIRLANE HOTEL
E+Rose Wellness,Downtown,501 Church Street,37219,WELLNESS CAFÉ
Famous Nashville,Downtown,110 2nd Avenue North,37201,"RESTAURANT, BAR, ROOFTOP, & EVENT SPACE"
Fifth + Broadway,Downtown,5036 Broadway Place,37203,"30+ RESTAURANTS AND SHOPS, RESIDENTIAL, AND OFFICE SPACE"
Fleet Street Pub,Downtown,207 Printers Alley,37201,ENGLISH PUB
Flying Saucer,Downtown,"111 10th Avenue South, #310",37203,DRAUGHT EMPORIUM
Frothy Monkey,Downtown,235 5th Avenue North,37219,COFFEE HOUSE & EATERY
Goo Goo,Downtown,116 3rd Avenue South,37201,RETAIL SHOP & DESSERT BAR
Gray and Dudley,Downtown,221 2nd Avenue North,37201,RESTAURANT AND LOUNGE AT 21C MUSEUM HOTEL
Hard Rock Café,Downtown,100 Broadway,37201,RESTAURANT & BAR
Hattie B's Hot Chicken,Downtown,"5069 Broadway Place, Suite A-103",37203,"SOUTHERN, FAST-CASUAL RESTAURANT KNOWN FOR HOT CHICKEN"
Headquarters Beercade,Downtown,114 2nd Ave South,37201,BAR & ARCADE
Honky Tonk Central,Downtown,329 Broadway,37201,
Jack's Bar-B-Que,Downtown,416 Broadway,37203,
Jane's Hideaway,Downtown,209 3rd Avenue North,37201,KITCHEN AND SPIRITS
Jason Aldean's Kitchen + Rooftop Bar,Downtown,311 Broadway,37201,RESTAURANT AND BAR
Jeff Ruby's Steakhouse,Downtown,300 4th Avenue North,37219,STEAKHOUSE RESTAURANT
Joe's Crab Shack,Downtown,123 2nd Avenue South,37201,
Kid Rock's Big Honky Tonk and Rock N' Roll Steakhouse,Downtown,217 Broadway,37201,BAR & RESTAURANT
Layla's Honkly Tonk,Downtown,418 Broadway,37203,HONKY TONK SALOON
Legendary Milkshake Bar,Downtown,171 3rd Avenue North,37219,MILKSHAKES AND ICE CREAM
Legends Corner,Downtown,428 Broadway,37203,HONKY TONK SALOON
Little Fib,Downtown,611 Commerce Street,37203,AMERICAN RETRO RESTAURANT
Lonnie's Western Room,Downtown,308 Church Street,37201,KARAOKE BAR
Losers,Downtown,111 4th Avenue South,37201,COUNTRY DIVE BAR
Lou/Na,Downtown,1000 Broadway,37203,ROOFTOP LOUNGE
Luke's 32 Bridge,Downtown,301 Broadway,37201,LUKE BRYAN'S RESTAURANT & BAR
Luna Llena Taqueria,Downtown,300 James Robertson Parkway,37201,BREAKFAST & TACOS
Makeready L&L,Downtown,200 4th Avenue North,37219,AMERICAN RESTAURANT
Margaritaville,Downtown,322 Broadway,37201,JIMMY BUFFET'S FAMOUS RESTAURANT
Mellow Mushroom,Downtown,423 Broadway,37203,PIZZERIA RESTAURANT
Melting Pot,Downtown,166 Second Avenue North,37201,FONDUE RESTAURANT
Merchants,Downtown,401 Broadway,37203,FINE DINING RESTAURANT & BAR
Mike's Ice Cream,Downtown,129 2nd Ave North,37201,ICE CREAM & COFFEE BAR
Mile End Delicatessen,Downtown,"401 Union Street, 1st Floor",37219,MONTREAL-STYLE DELICATESSEN & FULL BAR
Miranda Lambert's Casa Rosa,Downtown,308 Broadway,37201,TEX-MEX BAR & CANTINA
Moonshot Coffee Bar,Downtown,300 Gay Street,37201,COFFEE BAR
Morton's,Downtown,618 Church Street,37219,STEAKHOUSE
Ms. Kelli's,Downtown,207 Printers Alley,37201,KARAOKE BAR
Nashville Underground,Downtown,105 Broadway,37201,"MUSIC VENUE, BAR & RESTAURANT"
Natura,Downtown,210 4th Avenue North,37219,COFFEE SHOP
Nudie's,Downtown,409 Broadway,37203,HONKY TONK BAR
Oak Bar,Downtown,231 6th Avenue North,37219,UPSCALE BAR INSIDE THE HERMITAGE HOTEL
Ole Red,Downtown,300 Broadway,37201,RESTAURANT AND BAR
Pancho and Lefty's,Downtown,104 5th Avenue South,37204,STREET TACO CANTINA
Paradise Park,Downtown,411 Broadway,37203,HONKY TONK SALOON
Parlour Bar,Downtown,210 4th Ave North,37219,COCKTAIL BAR
Pete & Terry's Tavern,Downtown,501 Broadway,37203,BAR & RESTAURANT
Puckett's,Downtown,500 Church Street,37219,SOUTHERN COMFORT RESTAURANT
Rare Bird,Downtown,200 4th Avenue North,37219,ROOFTOP BAR & LOUNGE AT NOELLE
Red Phone Booth,Downtown,136 Rosa L Parks Boulevard,37203,1920'S SPEAKEASY + CIGAR BAR
John Rich's Redneck Riviera,Downtown,208 Broadway,37201,BAR AND BARBECUE
Rippy's,Downtown,429 Broadway,37203,BAR & GRILL
Rise Nashville,Downtown,153 5th Avenue North,37219,"BISCUITS, DONUTS, CHICKEN, AND SOUTHERN BREAKFAST"
Robert's Western World,Downtown,416B Broadway,37203,HONKY TONK SALOON
Rock Bottom,Downtown,111 Broadway,37201,BREWERY & RESTAURANT
Second Fiddle,Downtown,420 Broadway,37203,HONKY TONK SALOON
Shake Shack,Downtown,501 Commerce Street,37203,BURGER RESTAURANT
Sixty Vines,Downtown,"5055 Broadway Place, Suite 3200",37203,
Skull's Rainbow Room,Downtown,222 Printers Alley,37201,RESTAURANT & BAR
Slim & Husky's,Downtown,501 Commerce Street,37203,FAST-CASUAL PIZZA RESTAURANT
Snitch,Downtown,206 Printers Alley,37219,COCKTAIL BAR
The Standard,Downtown,167 Rosa L. Parks Blvd,37203,SOUTHERN FINE DINING
Standard Proof Whiskey Co.,Downtown,219 5th Avenue North,37219,DISTILLERY
Stateside Kitchen,Downtown,210 4th Avenue North,37219,BRASSERIE-STYLE RESTAURANT AT DREAM HOTEL
Tavern at Bobby,Downtown,230 4th Avenue South,37219,CLASSIC AMERICAN TAVERN
TENN on Top,Downtown,118 7th Avenue North,37203,ROOFTOP BAR
The Bridge Bar,Downtown,611 Commerce Street,37203,HOTEL BAR + RESTAURANT
The Continental,Downtown,"1000 Broadway, Suite 101",37203,A MODERN HOTEL RESTAURANT FROM CHEF SEAN BROCK
The George Jones,Downtown,128 2nd Avenue North,37201,"LIVE MUSIC, ROOFTOP BAR, MUSEUM, SMOKEHOUSE RESTAURANT"
The Italian Kitchen,Downtown,217 4th Avenue North,37219,PIZZERIA
The Nashville Grange,Downtown,1000 Broadway,37203,SOUTHERN-INSPIRED RESTAURANT AT GRAND HYATT NASHVILLE
The Stage,Downtown,412 Broadway,37203,HONKY TONK SALOON
The Stillery,Downtown,113 2nd Avenue North,37201,AMERICAN RESTAURANT & BAR
The Twelve Thirty Club,Downtown,550 Broadway,37203,"ENTERTAINMENT VENUE, RESTAURANT, AND BAR"
The Urban Juicer,Downtown,21 Arcade Alley,37219,"JUICES, SMOOTHIES, SALADS, WRAPS"
The Valentine,Downtown,312 Broadway,37201,BAR AND RESTAURANT
Tin Roof,Downtown,316 Broadway Avenue,37201,BAR AND RESTAURANT
Tootsies Orchid Lounge,Downtown,422 Broadway,37203,HONKY TONK SALOON
Trade Room at Noelle,Downtown,200 Fourth Avenue North,37219,HOTEL LOUNGE & BAR
Trattoria Il Mulino,Downtown,144 5th Ave S,37203,ITALIAN RESTAURANT
Twin Kegs 2,Downtown,327 Hermitage Avenue,37210,"BAR, RESTAURANT, MUSIC VENUE"
Varallo's,Downtown,239 4th Avenue North,37219,CHILE PARLOR & RESTAURANT
WannaB's Karaoke,Downtown,305 Broadway,37201,KARAOKE BAR
Whiskey Bent,Downtown,306 Broadway,37201,HONKY TONK SALOON
Wild Eggs,Downtown,333 Union St,37201,"BREAKFAST, BRUNCH, LUNCH"
Wildhourse Saloon,Downtown,120 2nd Avenue North,37201,LIVE MUSIC & DANCING
Zeppelin,Downtown,505 3rd Avenue North,37201,ROOFTOP BAR & RESTAURANT AT TOWNEPLACE SUITES NASHVILLE
3 Crow Bar,East Nashville,1024 Woodland Street,37206,BAR & RESTAURANT
The 5 Spot,East Nashville,1006 Forrest Avenue,37206,LIVE MUSIC VENUE
615Chutney,East Nashville,1112 Woodland Street,37206,INDIAN RESTAURANT
Attaboy,East Nashville,8 Mcferrin Avenue,37206,COCKTAIL BAR
Audrey,East Nashville,809 Meridian Street,37207,"FLAGSHIP RESTAURANT OF SEAN BROCK, INSPIRED BY HIS APPALACHIAN ROOTS"
Babo,East Nashville,1601A Riverside Drive,37216,KOREAN BAR & RESTAURANT
Barista Parlor,East Nashville,519B Gallatin Avenue,37206,COFFEE SHOP
Beyond the Edge,East Nashville,112 South 11th Street,37206,BAR & RESTAURANT
Bolton's,East Nashville,624 Main Street,37204,SPICY CHICKEN & FISH
Bongo Java East and Game Point Café,East Nashville,107 South 11th Street,37206,COFFEEHOUSE/RESTAURANT
Boston Commons,East Nashville,1008 Woodland Street,37206,BOSTON SEAFOOD HOUSE
Brightside Bakeshop,East Nashville,713 Porter Road,37206,BAKERY
Butcher & Bee,East Nashville,902 Main Street,37206,RESTAURANT AND BAR
Café Roze,East Nashville,1115 Porter Road,37206,ALL DAY CAFÉ
Calypso Café,East Nashville,301 Gallatin Avenue,37206,
Castrillo's Pizza,East Nashville,1404 McGavock Pike,37206,PIZZERIA
Chopper,East Nashville,1100B Stratton Avenue,37206,TIKI BAR
Cilantro,East Nashville,972 Main Street,37206,MEXICAN RESTAURANT
Citizen Market,East Nashville,975 Main Street,37206,GRAB-AND-GO MARKETPLACE
Coneheads,East Nashville,1315 Dickerson Pike,37207,CHICKEN & WAFFLES WITH A TWIST
Crazy Gnome Brewery,East Nashville,948 Main Street,37206,NANO BREWERY
Dino's,East Nashville,411 Gallatin Road,37206,DIVE BAR
Dose. Coffee & Tea - East,East Nashville,1400 McGavock Pike,37216,"SPECIALTY COFFEE, TEA & PASTRIES"
Drifters BBQ,East Nashville,1008B Woodland St,37206,BARBECUE
Duke's,East Nashville,1000 Main Street,37206,BEER + SANDWICHES
East Nashville Beer Works,East Nashville,320 East Trinity Lane,37207,BREWERY
East Park Donuts & Coffee,East Nashville,700 Main Street,37206,OLD-FASHION CAKE DONUTS & HANDCRAFTED ESPRESSO AND COFFEE
East Side Banh Mi,East Nashville,1000 Gallatin Avenue,37206,VIETNAMESE-STYLE BÁNH MÌ SANDWICHES
Edley's Bar-B-Que,East Nashville,908 Main Street,37206,FAST-CASUAL BARBECUE
El Jaliciense,East Nashville,3225 Gallatin Pike,37216,AUTHENTIC MEXICAN RESTAURANT
Elegy Coffee,East Nashville,2909A Gallatin Avenue,37216,COFFEE SHOP
Far East,East Nashville,1008 Fatherland Street,37206,VIETNAMESE CUISINE
Five Daughters Bakery,East Nashville,"1900 Eastland Avenue, Suite #101",37206,BAKERY
Five Points Pizza,East Nashville,1012 Woodland Street,37206,PIZZA RESTAURANT
Folk,East Nashville,823 Meridian Street,37207,RESTAURANT AND BAR
The Fox Bar & Cocktail Club,East Nashville,2905B Gallatin Pike,37216,COCKTAIL BAR
Franklin Juice Co.,East Nashville,707 Porter Road,37206,JUICE SHOP
Fran's East Side,East Nashville,2105 Greenwood Avenue,37206,KARAOKE & DIVE BAR
Frothy Monkey,East Nashville,1701 Fatherland Avenue,37206,COFFEE HOUSE & EATERY
Graze,East Nashville,1888 Eastland Avenue,37206,PLANT-BASED BISTRO & BAR
GReKo Greek Street Food,East Nashville,704 Main Street,37206,AUTHENTIC GREEK STREET FARE
Hawkers Nashville,East Nashville,626A Main Street,37206,ASIAN STREET FARE
Hearts Nashville,East Nashville,914 Gallatin Avenue,37206,AUSTRALIAN-INSPIRED ALL-DAY CAFÉ
Henry James,East Nashville,3807 Gallatin Pike,37216,COCKTAIL BAR
High Garden,East Nashville,935 Woodland Street,37206,TEA ROOM & RETAIL
Hugh-Baby's,East Nashville,975 Main Street,37206,FAST-CASUAL BURGER RESTAURANT
Hunters Station,East Nashville,975 Main Street,37206,FOOD HALL
I Dream of Weenie,East Nashville,113 South 11th Street,37206,VW BUS HOT DOG STAND
In Good Company,East Nashville,1006 Fatherland Street,37206,CATERER
Inglewood Lounge,East Nashville,3914 Gallatin Pike,37216,NEIGHBORHOOD BAR & LOUNGE
Italia,East Nashville,1600 Woodland Street,37206,ITALIAN RESTAURANT
Jeni's Splendid Ice Creams,East Nashville,1892 Eastland Avenue,37206,SPLENDID ICE CREAM
Joyland,East Nashville,"901 Woodland Street, Suite 101",37206,"CHEESEBURGERS, BISCUITS, & SOUTHERN FRIED CHICKEN FROM SEAN BROCK"
Juice Bar,East Nashville,975 Main Street,37206,JUICE BAR
Kawai Poke Co.,East Nashville,"901 Woodland Street, Suite 105",37206,"HAWAIIAN POKÉ, TROPICAL BREAKFAST BOWLS, AND TRADITIONAL FAVORITES"
Kernels Gourmet Popcorn,East Nashville,2501B Gallatin Avenue,37206,
Kettner Coffee Supply,East Nashville,1045 West Eastland Avenue,37206,COFFEE SHOP
Koi Sushi & Thai ,East Nashville,923 Main Street,37204,
Lakeside Lounge,East Nashville,921 Woodland Street,37206,BAR ROOM BITES & DRINKS
Las Maracas,East Nashville,2704 Gallatin Pike,37216,MEXICAN RESTAURANT
Lipstick Lounge,East Nashville,1400 Woodland Street,37206,
Living Waters Bowling,East Nashville,"1056 East Trinity Lane, Suite 101",37216,CRAFT BREWERY & COFFEE BAR
Lockeland Table,East Nashville,1520 Woodland Street,37206,
lou,East Nashville,1304 McGavock Pike,37216,ALL DAY BRUNCH CAFÉ & WINE BAR
Love & Exile Bar,East Nashville,715 Main Street,37206,WINERY + BAR
Lyra,East Nashville,935 West Eastland Avenue,37206,MODERN MIDDLE EASTERN RESTAURANT
Margot,East Nashville,1017 Woodland Street,37206,FRENCH & ITALIAN CUISINE
Maru Sushi & Grill,East Nashville,"1100 Fatherland Street, Suite #101",37206,SUSHI RESTAURANT
Mas Tacos Por Favor,East Nashville,732 Mcferrin Avenue,37206,MEXICAN
Mickey's Tavern,East Nashville,2907 Gallatin Pike,37216,BAR
Mitchel Delicatessen,East Nashville,1402 McGavock,37216,
Nashville Biscuit House,East Nashville,805 Gallatin Avenue,37206,SOUTHERN RESTAURANT
Nashville Sweets,East Nashville,803 Woodland Street,37206,BAKERY
Nicoletto's Italian Kitchen,East Nashville,2905A Gallatin Pike,37216,FAST-CASUAL ITALIAN RESTAURANT AND RETAIL
No. 308 Presents CAMP,East Nashville,407 Gallatin Avenue,37206,NATIONAL PARKS CONSERVATION BAR
No Quarter,East Nashville,922B Main Street,37206,PINBALL AND BEER JOINT
Noble's Kitchen & Beer Hall,East Nashville,974 Main Street,37206,RESTAURANT & BAR
Nomzilla,East Nashville,1000 Gallatin Ave,37206,SUSHI RESTAURANT
Once Upon a Time in France,East Nashville,1102 Gallatin Avenue,37206,AUTHENTIC TRADITIONAL FRENCH BISTRO
Pearl Diver,East Nashville,1008 Gallatin Avenue,37206,ISLAND LOUNGE
Pelican & Pig,East Nashville,1010 Gallatin Avenue,37206,FINE-CASUAL AMERICAN RESTAURANT
Peninsula,East Nashville,1035 West Eastland Avenue,37206,SPANISH/PORTUGUESE RESTAURANT
Pomodoro East,East Nashville,701 Porter Road,37206,ITALIAN RESTAURANT
Porter Road Butcher,East Nashville,501 Gallatin Avenue,37206,BUTCHER SHOP + EATERY
Portland Brew,East Nashville,1921 Eastland Avenue,37206,COFFEEHOUSE
Red Door Saloon,East Nashville,1010 Forrest Avenue,37206,BAR & RESTAURANT
Redheaded Stranger,East Nashville,305 Arrington Street,37207,TEX-MEX RESTAURANT
Rosemary & Beauty Queen,East Nashville,1102 Forrest Avenue,37206,HOUSE BAR + GARAGE BAR
Rosepepper Cantina,East Nashville,1907 Eastland Avenue,37206,MEXICAN CUISINE
Samurai Sushi,East Nashville,97 Chapel Avenue,37206,SUSHI RESTAURANT
Setsun Wine Bar,East Nashville,105 South 11th Street,37206,WINE BAR POP-UP
Shep's Delicatessen,East Nashville,1000 Main Street,37206,CLASSIC JEWISH DELICATESSEN
Sid Gold's Request Room,East Nashville,3245 Gallatin Pike,37216,PIANO BAR
Sky Blue Café,East Nashville,700 Fatherland Street,37206,VEGAN & VEGETARIAN RESTAURANT
Slow Hand Coffee + Bakeshop,East Nashville,1012 Gallatin Avenue,37206,COFFEE AND BAKESHOP
Smith & Lentz Brewing,East Nashville,903 Main Street,37206,BREWERY & TAPROOM
Smokers Abbey,East Nashville,"604 Gallatin Avenue, #102",37206,CIGAR LOUNGE & SHOP
Southern Grist Brewing Co.,East Nashville,1201 Porter Road,37206,BREWERY AND TAPROOM
Sweet 16th,East Nashville,311 North 16th Street,37206,BAKERY
Tacos Aurora,East Nashville,"975 Main Street, Suite 103",37206,MEXICAN RESTAURANT
TailGate Brewery,East Nashville,811 Gallatin Avenue,37206,BREWERY & RESTAURANT
The Authentique,East Nashville,925 Gallatin Avenue,37206,WINE BAR
Basement East,East Nashville,917 Woodland Avenue,37206,MUSIC VENUE & BAR
The Cake Project,East Nashville,"1006 Fatherland Street, Suite 207",37206,DESSERT SHOP
The Cobra,East Nashville,2511 Gallatin Avenue,37206,BAR & LIVE MUSIC VENUE
The Crying Wolf,East Nashville,823 Woodland Street,37206,BAR
The Dive Motel & Swim Club,East Nashville,1414 Dickerson Pike,37207,RETRO-STYLE MOTEL + DIVE BAR + POOL OPEN TO PUBLIC
The East Room,East Nashville,2412 Gallatin Avenue,37206,MUSIC VENUE
The Filling Station,East Nashville,904 B Main Street,37206,TAPROOM AND BEER-TO-GO
The Golden Door,East Nashville,1106 Chester Avenue,37206,SPEAKEASY CRAFT COCKTAIL BAR
The Grilled Cheeserie,East Nashville,975 Main Street,37206,"SANDWICHES, SHAKES, FLOATS"
The Mainstay,East Nashville,501 Main Street,37206,CASUAL RESTAURANT AND BAR
The Pharmacy,East Nashville,731 McFerrin,37206,BURGER PARLOR & BEER GARDEN
The Picnic Tap,East Nashville,975 Main Street,37206,CRAFT BEER BAR / GASTRO PUB
The Soda Parlor,East Nashville,966 Woodland Street,37206,SODA SHOP / APPAREL STORE
The Treehouse,East Nashville,1011 Clearview Avenue,37206,RESTAURANT & BAR
The Urban Juicer,East Nashville,1009 Gallatin Avenue,37206,"JUICES, SMOOTHIES, SALADS, WRAPS"
