,Parcel ID,Land Use,Property Address,Property City,Zip Code,Sale Price,Legal Reference,Finished Area,Bedrooms,Full Bath,Half Bath
14,174 01 0A 104.00,SINGLE FAMILY,1085  SHIRE DR,ANTIOCH,37013.0,171990,20130122-0006560,,,,
15,181 02 0A 061.00,RESIDENTIAL CONDO,8231  LENOX CREEKSIDE DR,ANTIOCH,37013.0,135500,20130116-0005316,,,,
16,181 02 0A 237.00,VACANT RES LAND,8121  LENOX CREEKSIDE DR,ANTIOCH,37013.0,139144,20130128-0008850,,,,
17,181 03 0A 006.00,SINGLE FAMILY,6528  BROKEN BOW DR,ANTIOCH,37013.0,185000,20130122-0006999,,,,
18,181 03 0A 271.00,VACANT RES LAND,7457  STECOAH ST,ANTIOCH,37013.0,45000,20130123-0007404,,,,
19,181 03 0A 280.00,VACANT RES LAND,7432  STECOAH ST,ANTIOCH,37013.0,45000,20130123-0007393,,,,
20,182 06 0A 071.00,SINGLE FAMILY,7113  LEGACY DR,ANTIOCH,37013.0,154000,20130108-0002246,,,,
21,182 06 0A 278.00,SINGLE FAMILY,8505  LAWSON DR,ANTIOCH,37013.0,157000,20130125-0008164,,,,
22,182 06 0A 351.00,SINGLE FAMILY,8461  LAWSON DR,ANTIOCH,37013.0,139000,20130128-0008481,,,,
23,182 12 0A 131.00,SINGLE FAMILY,7229  SMOKEY HILL RD,ANTIOCH,37013.0,190000,20130114-0004396,,,,
24,182 12 0A 145.00,VACANT RES LAND,7405  GOLDEN APPLE DR,ANTIOCH,37013.0,50000,20130114-0004275,,,,
25,182 12 0A 148.00,VACANT RES LAND,7204  SMOKEY HILL RD,ANTIOCH,37013.0,50000,20130114-0004275,,,,
26,149 01 0B 066.00,SINGLE FAMILY,812  BILLINGSGATE CT,ANTIOCH,37013.0,119900,20130108-0002522,,,,
27,149 02 0B 071.00,SINGLE FAMILY,805  BISHOPSGATE RD,ANTIOCH,37013.0,99800,20130114-0004070,,,,
28,149 15 0A 423.00,SINGLE FAMILY,1717  BRIDGECREST DR,ANTIOCH,37013.0,119900,20130201-0010686,,,,
29,150 03 0 075.00,SINGLE FAMILY,3261  ANDERSON RD,ANTIOCH,37013.0,123900,20130111-0003740,1515.0,3.0,2.0,0.0
30,150 08 0 130.00,SINGLE FAMILY,1200  HUNTINGBORO CT,ANTIOCH,37013.0,107000,20130122-0006744,1087.0,3.0,2.0,0.0
31,150 15 0B 006.00,SINGLE FAMILY,316  SCHOOLHOUSE CT,ANTIOCH,37013.0,137210,20130122-0006665,,,,
32,151 09 0B 113.00,SINGLE FAMILY,5386  SKIP JACK DR,ANTIOCH,37013.0,187000,20130118-0006204,,,,
33,151 10 0A 124.00,SINGLE FAMILY,1025  WINDSOR BROOK PL,ANTIOCH,37013.0,81000,20130128-0008625,,,,
34,163 02 0 049.00,SINGLE FAMILY,4457  WINTON DR,ANTIOCH,37013.0,144900,20130109-0002868,1688.0,3.0,2.0,1.0
35,163 02 0C 069.00,RESIDENTIAL CONDO,1382  RURAL HILL RD,ANTIOCH,37013.0,74900,20130118-0006224,,,,
36,163 05 0B 077.00,RESIDENTIAL CONDO,5170  HICKORY HOLLOW PKWY,ANTIOCH,37013.0,57500,20130116-0005262,,,,
37,163 07 0A 046.00,VACANT RES LAND,1868  WILD OAKS CT,ANTIOCH,37013.0,16000,20130109-0002645,,,,
38,164 08 0C 003.00,SINGLE FAMILY,505  AERIE LNDG,ANTIOCH,37013.0,146900,20130125-0008107,,,,
39,164 08 0C 005.00,SINGLE FAMILY,517  AERIE LNDG,ANTIOCH,37013.0,153000,20130131-0010305,,,,
40,164 10 0A 174.00,SINGLE FAMILY,3613  BENTFIELD DR,ANTIOCH,37013.0,168000,20130115-0004800,,,,
41,165 13 0A 027.00,SINGLE FAMILY,616  N STONEGATE CT,ANTIOCH,37013.0,106500,20130125-0008170,,,,
42,175 06 0A 040.00,SINGLE FAMILY,1117  SHALLOWBROOK TRL S,ANTIOCH,37013.0,129990,20130114-0004384,,,,
43,176 05 0 067.00,SINGLE FAMILY,5016  SUNSHINE DR,ANTIOCH,37013.0,147362,20130201-0010603,2193.5,3.0,3.0,0.0
44,176 05 0A 036.00,SINGLE FAMILY,5432  HICKORY WOODS DR,ANTIOCH,37013.0,150000,20130108-0002390,,,,
45,162 02 0A 024.00,SINGLE FAMILY,4909  LUKER LN,ANTIOCH,37013.0,141900,20130212-0014460,,,,
46,162 02 0A 025.00,SINGLE FAMILY,4905  LUKER LN,ANTIOCH,37013.0,141900,20130212-0014452,,,,
47,162 07 0 001.00,SINGLE FAMILY,5028  SHIHMEN DR,ANTIOCH,37013.0,82620,20130226-0018832,1632.0,3.0,1.0,0.0
48,172 08 0A 146.00,SINGLE FAMILY,5820  LABRADOR LN,ANTIOCH,37013.0,120000,20130221-0017572,,,,
49,173 05 0A 130.00,RESIDENTIAL CONDO,1710  RED JACKET DR,ANTIOCH,37013.0,116000,20130215-0015522,,,,
50,173 09 0B 054.00,SINGLE FAMILY,4205  BARNES COVE DR,ANTIOCH,37013.0,196000,20130228-0020150,,,,
51,173 09 0B 099.00,SINGLE FAMILY,4121  BARNES COVE CT,ANTIOCH,37013.0,218000,20130228-0020346,,,,
52,173 10 0A 025.00,SINGLE FAMILY,3060  BARNES BEND DR,ANTIOCH,37013.0,224533,20130225-0018718,,,,
53,173 16 0A 202.00,SINGLE FAMILY,3909  STEPHENS RIDGE WAY,ANTIOCH,37013.0,179900,20130213-0014854,,,,
54,174 01 0A 101.00,SINGLE FAMILY,1076  SHIRE DR,ANTIOCH,37013.0,137990,20130220-0017077,,,,
55,174 01 0A 102.00,SINGLE FAMILY,1077  SHIRE DR,ANTIOCH,37013.0,137990,20130220-0017069,,,,
56,182 06 0A 270.00,SINGLE FAMILY,8304  RAMSTONE WAY,ANTIOCH,37013.0,128000,20130228-0020039,,,,
57,182 12 0A 134.00,VACANT RES LAND,7217  SMOKEY HILL RD,ANTIOCH,37013.0,25000,20130227-0019424,,,,
58,183 05 0A 075.00,SINGLE FAMILY,920  COLO CV,ANTIOCH,37013.0,140000,20130227-0019699,,,,
59,183 05 0A 345.00,SINGLE FAMILY,4540  RED BARK CT,ANTIOCH,37013.0,205000,20130221-0017516,,,,
60,135 14 0C 056.00,SINGLE FAMILY,508  TITAN CT,ANTIOCH,37013.0,119911,20130219-0016487,,,,
61,136 15 0B 007.00,RESIDENTIAL CONDO,3401  ANDERSON RD,ANTIOCH,37013.0,95000,20130215-0015520,,,,
62,148 12 0 245.00,SINGLE FAMILY,4603  FANNING DR,ANTIOCH,37013.0,86500,20130211-0013798,1200.0,3.0,1.0,1.0
63,148 12 0 256.00,DUPLEX,4601  DOWDY DR,ANTIOCH,37013.0,95000,20130207-0012637,2150.0,5.0,2.0,0.0
64,149 06 0 120.00,SINGLE FAMILY,808  PEBBLE CREEK CT,ANTIOCH,37013.0,132000,20130228-0020144,1840.0,3.0,3.0,0.0
65,149 15 0A 285.00,SINGLE FAMILY,1604  BRIDGECREST DR,ANTIOCH,37013.0,156000,20130228-0020153,,,,
66,150 03 0 149.00,ZERO LOT LINE,3205  AGATHA CT,ANTIOCH,37013.0,59000,20130226-0019216,1172.0,3.0,1.0,1.0
67,150 03 0 265.00,ZERO LOT LINE,2917  SHEANA WAY,ANTIOCH,37013.0,35000,20130219-0016115,1152.0,3.0,1.0,1.0
68,150 03 0 443.00,SINGLE FAMILY,3413  WESTCLIFFE CT,ANTIOCH,37013.0,108000,20130215-0015843,1991.0,3.0,3.0,0.0
69,150 04 0 081.00,SINGLE FAMILY,4021  LANCASHIRE DR,ANTIOCH,37013.0,138200,20130215-0015419,1958.0,3.0,3.0,0.0
70,150 04 0 103.00,SINGLE FAMILY,3525  SHAKERTOWN RD,ANTIOCH,37013.0,133000,20130228-0020087,1712.0,3.0,2.0,0.0
71,150 06 0A 001.00,SINGLE FAMILY,2841  LOUISE RUSSELL DR,ANTIOCH,37013.0,166300,20130208-0013237,,,,
72,150 07 0 141.00,SINGLE FAMILY,401  SPRINGTIME CT,ANTIOCH,37013.0,123500,20130228-0020055,1474.0,3.0,2.0,0.0
73,150 07 0 165.00,SINGLE FAMILY,3217  COUNTRY LAWN DR,ANTIOCH,37013.0,53150,20130213-0014491,1372.0,3.0,2.0,0.0
74,150 07 0 468.00,ZERO LOT LINE,3337  OAK TREES CT,ANTIOCH,37013.0,64900,20130225-0018553,1228.0,2.0,1.0,1.0
75,150 12 0C 007.00,SINGLE FAMILY,3529  MT VIEW RIDGE DR,ANTIOCH,37013.0,114750,20130222-0017897,,,,
76,163 02 0B 027.00,VACANT RES LAND,209  TOOK DR,ANTIOCH,37013.0,14000,20130208-0013233,,,,
77,163 05 0A 021.00,RESIDENTIAL CONDO,5170  HICKORY HOLLOW PKWY,ANTIOCH,37013.0,88000,20130228-0019951,,,,
78,163 05 0B 200.00,RESIDENTIAL CONDO,5170  HICKORY HOLLOW PKWY,ANTIOCH,37013.0,74500,20130220-0016948,,,,
79,164 08 0C 018.00,SINGLE FAMILY,3753  GRACE FALLS DR,ANTIOCH,37013.0,139000,20130220-0016586,,,,
80,164 12 0A 038.00,SINGLE FAMILY,913  PIN OAK DR,ANTIOCH,37013.0,96500,20130225-0018622,,,,
81,175 06 0A 095.00,SINGLE FAMILY,704  CANDLECREEK WAY,ANTIOCH,37013.0,139990,20130220-0016809,,,,
82,175 06 0A 118.00,SINGLE FAMILY,5149  PRESERVE BLVD,ANTIOCH,37013.0,129000,20130225-0018479,,,,
83,175 06 0A 122.00,SINGLE FAMILY,1301  RAINGLEN CV,ANTIOCH,37013.0,139990,20130225-0018466,,,,
84,176 01 0A 050.00,SINGLE FAMILY,6877  HICKORY RIM CT,ANTIOCH,37013.0,135900,20130228-0020034,,,,
85,162 06 0 101.00,SINGLE FAMILY,186  OLD TUSCULUM RD,ANTIOCH,37013.0,85000,20130318-0026748,1266.0,3.0,1.0,0.0
86,162 06 0 299.00,SINGLE FAMILY,157  OCALA DR,ANTIOCH,37013.0,87000,20130311-0024039,1650.0,3.0,1.0,1.0
87,162 06 0 304.00,SINGLE FAMILY,116  VALLEY WAY,ANTIOCH,37013.0,119000,20130401-0031332,2000.0,3.0,2.0,0.0
88,162 10 0 029.00,SINGLE FAMILY,616  BROOK DR,ANTIOCH,37013.0,146000,20130320-0027624,1872.0,3.0,1.0,1.0
89,162 10 0 179.00,SINGLE FAMILY,636  ROXANNE DR,ANTIOCH,37013.0,130000,20130305-0021773,1250.0,3.0,1.0,1.0
90,162 11 0 030.00,SINGLE FAMILY,704  YOEST CIR,ANTIOCH,37013.0,124000,20130318-0026284,1204.0,3.0,2.0,0.0
91,173 05 0A 014.00,RESIDENTIAL CONDO,1874  SHAYLIN LOOP,ANTIOCH,37013.0,118000,20130401-0031199,,,,
92,173 05 0A 054.00,RESIDENTIAL CONDO,1785  RED JACKET DR,ANTIOCH,37013.0,117500,20130401-0031201,,,,
93,173 09 0B 169.00,VACANT RES LAND,2640  BOWWATER LN,ANTIOCH,37013.0,40000,20130319-0027347,,,,
94,173 10 0A 123.00,SINGLE FAMILY,3416  TURFWAY LN,ANTIOCH,37013.0,231900,20130322-0028533,,,,
95,173 10 0A 125.00,SINGLE FAMILY,3424  TURFWAY LN,ANTIOCH,37013.0,232900,20130328-0030471,,,,
96,174 11 0B 007.00,SINGLE FAMILY,6029  CANE SPRINGS RD,ANTIOCH,37013.0,140390,20130313-0024883,,,,
97,174 11 0B 009.00,SINGLE FAMILY,6037  CANE SPRINGS RD,ANTIOCH,37013.0,158310,20130318-0026265,,,,
98,181 03 0A 046.00,SINGLE FAMILY,6221  TUCKALEECHEE LN,ANTIOCH,37013.0,163000,20130315-0026080,,,,
99,181 03 0A 067.00,SINGLE FAMILY,6108  TUCKALEECHEE LN,ANTIOCH,37013.0,200000,20130315-0026139,,,,
100,182 06 0A 054.00,SINGLE FAMILY,7826  RAINEY DR,ANTIOCH,37013.0,135000,20130319-0027184,,,,
101,182 12 0A 051.00,SINGLE FAMILY,7339  SMOKEY HILL RD,ANTIOCH,37013.0,187000,20130304-0021589,,,,
102,182 12 0A 136.00,VACANT RES LAND,7404  GOLDEN APPLE DR,ANTIOCH,37013.0,25000,20130318-0026750,,,,
103,183 05 0A 104.00,SINGLE FAMILY,657  WAYWOOD CIR,ANTIOCH,37013.0,208500,20130319-0026962,,,,
104,135 14 0A 244.00,SINGLE FAMILY,1324  GANNETT PEAK LN,ANTIOCH,37013.0,125000,20130325-0029008,,,,
105,136 15 0A 026.00,RESIDENTIAL CONDO,3405  OLD ANDERSON RD,ANTIOCH,37013.0,114941,20130320-0027479,,,,
106,136 15 0B 089.00,RESIDENTIAL CONDO,3401  ANDERSON RD,ANTIOCH,37013.0,68000,20130319-0026909,,,,
107,137 13 0A 066.00,SINGLE FAMILY,3917  WATERFORD WAY,ANTIOCH,37013.0,152000,20130322-0028577,,,,
108,148 08 0A 043.00,SINGLE FAMILY,1905  TERRAGON CT,ANTIOCH,37013.0,113000,20130401-0031328,,,,
109,148 12 0 142.00,SINGLE FAMILY,4657  FANNING DR,ANTIOCH,37013.0,85000,20130319-0027270,1050.0,2.0,1.0,0.0
110,148 12 0 280.00,SINGLE FAMILY,908  PRESTON CT,ANTIOCH,37013.0,113900,20130311-0023694,1623.0,3.0,2.0,0.0
111,149 01 0B 024.00,SINGLE FAMILY,509  EVERSHOLT CT,ANTIOCH,37013.0,67000,20130325-0029121,,,,
112,149 05 0 111.00,SINGLE FAMILY,4705  VOLUNTEER DR,ANTIOCH,37013.0,25000,20130325-0028879,1224.0,3.0,1.0,0.0
113,149 07 0C 047.00,SINGLE FAMILY,3309  CLAPHAM RD,ANTIOCH,37013.0,110500,20130318-0026597,,,,
114,149 09 0 205.00,SINGLE FAMILY,4741  MINERS CV,ANTIOCH,37013.0,85000,20130318-0026763,1560.0,2.0,1.0,0.0
115,149 09 0 253.00,SINGLE FAMILY,1201  NEWLODGE CT,ANTIOCH,37013.0,130000,20130308-0023201,1632.0,3.0,2.0,0.0
116,149 10 0 074.00,SINGLE FAMILY,5024  STREAMFIELD PASS,ANTIOCH,37013.0,142900,20130306-0022352,1669.0,3.0,3.0,0.0
117,149 15 0A 267.00,SINGLE FAMILY,1676  BRIDGECREST DR,ANTIOCH,37013.0,167000,20130313-0024865,,,,
118,149 15 0A 393.00,VACANT RES LAND,3077  BROMLEY WAY,ANTIOCH,37013.0,40000,20130315-0026111,,,,
119,150 01 0 246.00,SINGLE FAMILY,2905  MOSSDALE DR,ANTIOCH,37013.0,95000,20130306-0022205,1360.0,3.0,1.0,1.0
120,150 01 0 314.00,SINGLE FAMILY,569  OWENDALE DR,ANTIOCH,37013.0,100000,20130318-0026418,1741.0,3.0,2.0,0.0
121,150 02 0 002.00,SINGLE FAMILY,2944  CHERRY HILLS DR,ANTIOCH,37013.0,149999,20130318-0026269,2138.0,3.0,1.0,1.0
122,150 06 0 116.00,SINGLE FAMILY,3191  ANDERSON RD,ANTIOCH,37013.0,101900,20130313-0024942,1612.0,3.0,2.0,0.0
123,150 06 0A 003.00,VACANT RES LAND,2849  LOUISE RUSSELL DR,ANTIOCH,37013.0,35000,20130401-0031234,,,,
124,150 06 0A 004.00,SINGLE FAMILY,2853  LOUISE RUSSELL DR,ANTIOCH,37013.0,177500,20130313-0024867,,,,
125,150 07 0 136.00,SINGLE FAMILY,3212  COUNTRY MEADOW RD,ANTIOCH,37013.0,85000,20130318-0026380,1650.0,3.0,3.0,0.0
126,150 07 0 241.00,ZERO LOT LINE,3241  ANDERSON RD,ANTIOCH,37013.0,53000,20130318-0026370,1116.0,2.0,1.0,1.0
127,150 09 0A 106.00,SINGLE FAMILY,1012  LONSWAY CIR,ANTIOCH,37013.0,161000,20130306-0022279,,,,
128,150 10 0 018.00,SINGLE FAMILY,3120  CEDARCROFT DR,ANTIOCH,37013.0,104900,20130325-0029244,1612.0,3.0,2.0,0.0
129,150 10 0 213.00,SINGLE FAMILY,3904  TEA GARDEN WAY,ANTIOCH,37013.0,124900,20130320-0027598,1243.0,3.0,2.0,0.0
130,150 14 0 075.00,SINGLE FAMILY,3600  LIPTON PL,ANTIOCH,37013.0,101000,20130325-0028981,1209.0,3.0,2.0,0.0
131,151 09 0A 013.00,SINGLE FAMILY,6200  PADDINGTON WAY,ANTIOCH,37013.0,167000,20130313-0024958,,,,
132,151 09 0A 331.00,VACANT RES LAND,916  FERNHURST CT,ANTIOCH,37013.0,30000,20130314-0025484,,,,
133,151 09 0A 343.00,VACANT RES LAND,6437  PADDINGTON WAY,ANTIOCH,37013.0,37500,20130314-0025485,,,,
134,151 09 0B 078.00,SINGLE FAMILY,5612  DORY DR,ANTIOCH,37013.0,155650,20130318-0026280,,,,
135,163 02 0A 019.00,SINGLE FAMILY,4808  HIGHLANDER CV,ANTIOCH,37013.0,90000,20130325-0029024,,,,
136,163 02 0B 104.00,VACANT RES LAND,261  TOOK DR,ANTIOCH,37013.0,36000,20130325-0028987,,,,
137,163 02 0B 105.00,VACANT RES LAND,257  TOOK DR,ANTIOCH,37013.0,36000,20130325-0028987,,,,
138,163 02 0C 012.00,RESIDENTIAL CONDO,1382  RURAL HILL RD,ANTIOCH,37013.0,78900,20130321-0028141,,,,
139,163 07 0A 043.00,SINGLE FAMILY,1858  WILD OAKS CT,ANTIOCH,37013.0,143500,20130325-0029139,,,,
140,163 07 0A 127.00,VACANT RES LAND,2203  DALE VIEW DR,ANTIOCH,37013.0,16000,20130314-0025789,,,,
141,163 07 0A 135.00,SINGLE FAMILY,1847  WILD OAKS CT,ANTIOCH,37013.0,152000,20130306-0022492,,,,
142,163 11 0C 063.00,RESIDENTIAL CONDO,805  BEAZER LN,ANTIOCH,37013.0,95000,20130326-0029455,,,,
143,164 10 0A 046.00,SINGLE FAMILY,4212  SANDSTONE DR,ANTIOCH,37013.0,146000,20130311-0023917,,,,
144,164 10 0A 411.00,SINGLE FAMILY,4525  SANDPIPER LN,ANTIOCH,37013.0,169961,20130401-0031156,,,,
145,165 14 0 111.00,SINGLE FAMILY,4924  DEERHAVEN DR,ANTIOCH,37013.0,93500,20130401-0031314,1100.0,3.0,2.0,0.0
146,175 06 0A 067.00,SINGLE FAMILY,1000  SHALLOWBROOK TRL N,ANTIOCH,37013.0,150000,20130327-0029811,,,,
147,175 06 0A 114.00,SINGLE FAMILY,5131  PRESERVE BLVD,ANTIOCH,37013.0,133990,20130321-0028001,,,,
148,176 02 0 023.00,SINGLE FAMILY,5016  TRAILWATER DR,ANTIOCH,37013.0,75000,20130321-0028005,1521.0,4.0,2.0,1.0
149,176 02 0 084.00,SINGLE FAMILY,5316  FLAGSTONE DR,ANTIOCH,37013.0,98000,20130328-0030316,1104.0,3.0,2.0,0.0
150,176 05 0 056.00,SINGLE FAMILY,109  SUNSHINE CT,ANTIOCH,37013.0,175088,20130311-0023783,2394.0,4.0,3.0,0.0
151,162 01 0D 016.00,SINGLE FAMILY,630  MAPLE TOP DR,ANTIOCH,37013.0,108000,20130424-0040574,,,,
152,162 02 0A 020.00,SINGLE FAMILY,5009  LUKER LN,ANTIOCH,37013.0,126000,20130424-0040702,,,,
153,162 13 0 235.00,SINGLE FAMILY,512  CEDARHILL CT,ANTIOCH,37013.0,107000,20130503-0044828,1792.0,3.0,3.0,0.0
154,173 09 0B 113.00,SINGLE FAMILY,6331  SUNNYWOOD DR,ANTIOCH,37013.0,40000,20130424-0040709,,,,
155,173 09 0B 150.00,SINGLE FAMILY,2605  BOWWATER LN,ANTIOCH,37013.0,40000,20130424-0040713,,,,
156,173 10 0A 013.00,SINGLE FAMILY,3109  THISTLE DOWN LN,ANTIOCH,37013.0,217500,20130424-0040680,,,,
157,173 10 0A 068.00,SINGLE FAMILY,6404  SUNNYWOOD DR,ANTIOCH,37013.0,243629,20130514-0048425,,,,
158,173 10 0A 127.00,SINGLE FAMILY,3429  TURFWAY LN,ANTIOCH,37013.0,212295,20130418-0038710,,,,
159,173 10 0A 129.00,SINGLE FAMILY,3421  TURFWAY LN,ANTIOCH,37013.0,234849,20130412-0036238,,,,
160,173 11 0A 054.00,SINGLE FAMILY,2073  STANFORD VILLAGE DR,ANTIOCH,37013.0,164000,20130412-0036506,,,,
161,173 11 0A 104.00,SINGLE FAMILY,2165  BLAKE DR,ANTIOCH,37013.0,164000,20130409-0034996,,,,
162,173 16 0A 106.00,SINGLE FAMILY,3449  CHANDLER COVE WAY,ANTIOCH,37013.0,155000,20130510-0047389,,,,
163,173 16 0A 222.00,SINGLE FAMILY,3900  CHANDLER COVE WAY,ANTIOCH,37013.0,156651,20130430-0042698,,,,
164,174 01 0A 060.00,SINGLE FAMILY,1049  SHIRE DR,ANTIOCH,37013.0,179990,20130409-0035014,,,,
165,174 01 0A 061.00,SINGLE FAMILY,1061  SHIRE DR,ANTIOCH,37013.0,170972,20130409-0035006,,,,
166,174 01 0A 062.00,SINGLE FAMILY,1065  SHIRE DR,ANTIOCH,37013.0,137990,20130409-0035011,,,,
167,174 01 0A 097.00,SINGLE FAMILY,1092  SHIRE DR,ANTIOCH,37013.0,154990,20130416-0037663,,,,
168,174 01 0A 100.00,SINGLE FAMILY,1080  SHIRE DR,ANTIOCH,37013.0,137990,20130416-0037660,,,,
169,174 01 0A 119.00,SINGLE FAMILY,6197  OLD FOREST RD,ANTIOCH,37013.0,146000,20130502-0044430,,,,
170,174 01 0A 187.00,SINGLE FAMILY,1053  SHIRE DR,ANTIOCH,37013.0,166990,20130416-0037657,,,,
171,174 01 0A 188.00,SINGLE FAMILY,1057  SHIRE DR,ANTIOCH,37013.0,140815,20130416-0037654,,,,
172,174 11 0A 510.00,SINGLE FAMILY,128  HEARTHSIDE WAY,ANTIOCH,37013.0,159990,20130429-0042189,,,,
173,174 11 0A 512.00,SINGLE FAMILY,136  HEARTHSIDE WAY,ANTIOCH,37013.0,140200,20130429-0042182,,,,
174,174 11 0A 519.00,SINGLE FAMILY,1409  OHARA DR,ANTIOCH,37013.0,153000,20130422-0039692,,,,
175,181 02 0A 258.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
176,181 02 0A 259.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
177,181 02 0A 260.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
178,181 02 0A 261.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
179,181 02 0A 262.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
180,181 02 0A 263.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
181,181 02 0A 264.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
182,181 02 0A 265.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
183,181 02 0A 266.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
184,181 02 0A 267.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
185,181 02 0A 268.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
186,181 02 0A 269.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
187,181 02 0A 270.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
188,181 02 0A 271.00,VACANT RES LAND,8605  PECKHAM LN,ANTIOCH,37013.0,366800,20130502-0044406,,,,
189,181 03 0A 094.00,SINGLE FAMILY,6224  TUCKALEECHEE LN,ANTIOCH,37013.0,208000,20130408-0034633,,,,
190,181 03 0A 254.00,SINGLE FAMILY,7270  SANTEELAH WAY,ANTIOCH,37013.0,45000,20130424-0040641,,,,
191,182 01 0A 129.00,SINGLE FAMILY,1205  SUNDOWN CT,ANTIOCH,37013.0,189990,20130409-0035043,,,,
192,182 06 0A 110.00,SINGLE FAMILY,7116  LEGACY DR,ANTIOCH,37013.0,167900,20130502-0044481,,,,
193,182 06 0A 154.00,SINGLE FAMILY,8029  MAGGIE CT,ANTIOCH,37013.0,150500,10130501-0043720,,,,
194,182 06 0A 249.00,SINGLE FAMILY,7212  LEGACY DR,ANTIOCH,37013.0,144500,20130502-0044385,,,,
195,182 12 0A 133.00,SINGLE FAMILY,7221  SMOKEY HILL RD,ANTIOCH,37013.0,187000,20130404-0033540,,,,
196,182 12 0A 145.00,SINGLE FAMILY,7405  GOLDEN APPLE DR,ANTIOCH,37013.0,194000,20130506-0045571,,,,
197,183 05 0A 288.00,SINGLE FAMILY,5821  PEKAY CT,ANTIOCH,37013.0,191131,20130503-0044765,,,,
198,135 14 0A 009.00,SINGLE FAMILY,1041  ALDERSGATE RD,ANTIOCH,37013.0,156900,20130422-0039765,,,,
199,136 15 0A 064.00,RESIDENTIAL CONDO,3405  OLD ANDERSON RD,ANTIOCH,37013.0,112000,20130426-0041673,,,,
200,136 15 0A 076.00,RESIDENTIAL CONDO,3405  OLD ANDERSON RD,ANTIOCH,37013.0,111000,20130404-0033289,,,,
201,149 02 0 029.00,SINGLE FAMILY,2125  AILEEN DR,ANTIOCH,37013.0,115000,20130416-0037880,1367.0,3.0,2.0,0.0
202,149 07 0D 003.00,SINGLE FAMILY,708  DOVER GLEN DR,ANTIOCH,37013.0,130000,20130425-0041069,,,,
203,149 10 0 105.00,SINGLE FAMILY,5061  STREAMFIELD PASS,ANTIOCH,37013.0,148500,20130429-0042206,1834.0,3.0,3.0,0.0
